,Size,Bedrooms,Age,Price
0,1360,2,19,248009.7121552421
1,1794,1,10,275328.4172451852
2,1630,4,12,283972.05508856545
3,1595,3,24,250267.71286270407
4,2138,3,15,355883.0544576274
5,2669,2,27,388114.1458305396
6,966,4,22,202610.2139802734
7,1738,1,24,275665.849376919
8,830,3,9,204479.95572989804
9,1982,4,20,367611.87714650924
10,2635,4,17,423937.88141574175
11,630,2,17,138709.9913167619
12,2185,3,26,333540.18130584946
13,1269,3,20,192588.596089979
14,2891,1,12,405333.18086966564
15,2015,3,7,330885.7012029511
16,2933,1,2,388758.5186897043
17,1715,3,3,297894.24748857744
18,1455,2,17,267863.3642459356
19,2824,3,5,415189.04700104945
20,1684,1,17,234282.10735772186
21,959,1,24,182978.564369003
22,521,2,17,141604.8059252858
23,2800,3,27,470621.9042875652
24,1247,3,17,204668.59678483775
25,974,2,2,209687.74484076392
26,1582,3,2,289557.81814304634
27,2547,3,28,379425.6256810639
28,1475,1,22,242610.24436989336
29,2306,3,23,352725.4928462522
30,689,3,5,134952.475800308
31,1062,2,1,189692.84943774712
32,2399,2,1,394368.6689464064
33,1767,4,19,330280.578076088
34,2028,1,2,299297.61620699277
35,1146,3,21,225791.94128289635
36,2568,3,12,449238.7609297967
37,2714,4,26,414256.2640366631
38,1797,3,6,305608.3336043601
39,2935,1,23,402611.97410229046
40,1100,4,4,250939.5141913725
41,2863,1,23,383181.97634454496
42,2561,4,11,420642.5872619817
43,741,4,24,140835.408125008
44,2541,2,27,370047.97527572507
45,1863,1,17,275972.5962183033
46,2639,3,6,402530.8604619195
47,1890,3,24,293094.85303199047
48,1978,1,5,286172.5324823117
49,1275,3,20,215729.57806079954
50,534,3,2,111118.63503624342
51,2753,1,6,385199.63296314253
52,2455,4,22,408926.59579082177
53,2085,1,11,299691.7795185832
54,1521,4,16,292422.2510180396
55,1629,3,16,256075.9825991903
56,2000,3,1,308086.0489191782
57,1202,3,9,217024.76313864655
58,2949,2,28,390970.0026055969
59,2079,4,27,314219.20777329896
60,661,2,6,163515.48076977467
61,701,2,16,186898.48687771923
62,2481,1,29,326181.13250086975
63,1495,2,3,223163.63487499394
64,2817,1,20,400175.9466232796
65,1315,1,28,171681.98361251937
66,955,2,27,149334.68757091163
67,1775,4,4,329699.9130838339
68,1516,4,19,273413.80770892877
69,2843,4,26,416616.4964933498
70,837,4,3,209407.0250220766
71,1378,4,19,251971.82338856885
72,1576,2,20,290910.95312253165
73,1291,2,7,215803.90531557208
74,2764,3,20,392411.7492535517
75,1263,4,9,245259.33652024867
76,2735,2,1,399144.76773619786
77,879,3,8,205992.8730360864
78,992,4,7,183609.24426937173
79,1680,1,18,260720.51733668003
80,2562,3,8,385214.29116720066
81,564,2,1,162416.46008851207
82,1867,1,11,279287.1257768591
83,1652,1,28,251213.8891543556
84,2527,1,25,340411.9637583634
85,1995,3,25,323160.45194843353
86,1662,2,18,298315.39578896505
87,2022,1,23,274455.2713708979
88,891,4,10,206776.1104967775
89,2198,1,3,316635.65428493754
90,918,1,7,201419.6358851893
91,2836,3,28,404241.168019799
92,878,3,16,172906.1559739231
93,2296,2,26,323154.46172071726
94,2778,4,16,427845.65235363535
95,2588,3,25,369689.8996465478
96,2682,1,20,363471.00021826604
97,700,2,28,144744.03710194156
98,2363,1,17,332650.5318015253
99,1279,1,2,233514.17153951694
